County,ProjectNam,ProjectDev,ProjectOwn,State,State_Coun,County__St,PopDensity,Household_,View_Score,Latitude,Longitude,Capacity,CurrentPha,TimelineDa,OnlyCancel,Artificial,OperatingD,PhaseHisto,field_15_1,field_16_1,field_17_1,field_18_1,field_19_1,field_20_1,field_21_1,field_22_1,field_23_1,field_24_1,field_25_1,field_26_1,field_27_1,field_28_1,field_29_1,field_30_1,field_31_1,field_32_1,lr_tif,H_L_W,Google_Sentiment,standard_dev,variance,Sign_Google,members_env,Canceled
Adair,MorningLightWindFarm,MidAmerican Energy Co,MidAmerican Energy Co,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,93,41.5005,-94.6442,100.2,Canceled,1879,No,No,No,Canceled:8/28/2014,Postponed:4/24/2014,Operating:10/1/2012,Under Const:8/2/2012,Proposed:1/6/2012,Canceled:12/7/2009,Proposed:8/10/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,1.44,0.8920949127381756,0.7958333333333333,Positive,245,0
Adair,CumberlandRoseWindEnergy,Cumberland Rose Wind Energy,Cumberland Rose Wind Energy,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,49,41.228,-94.434,1.6,Operating,203,No,No,No,Operating:11/1/2012,Proposed:4/12/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,OrientWindFarm,MidAmerican Energy Co,MidAmerican Energy Co,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,41,41.2024,-94.4172,482,Proposed,670,No,Yes,No,Proposed:12/31/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,SkyVolt,Sky Volt,Sky Volt,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,48,41.291,-94.485,1.6,Operating,172,No,No,No,Operating:10/1/2012,Proposed:4/12/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,GreenfieldWindPower,Greenfield Wind Power,Greenfield Wind Power,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,48,41.29,-94.488,1.6,Operating,243,No,No,No,Operating:10/1/2012,Proposed:2/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,BulldogWind,Bulldog Wind Energy,Bulldog Wind Energy,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,49,41.2257,-94.4405,1.5,Operating,392,No,No,No,Operating:10/20/2010,Under Const:10/19/2009,Proposed:9/23/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,245,0
Adair,MeadowRidgeWindEnergy,Meadow Ridge Wind Energy,Meadow Ridge Wind Energy,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,73,41.3931,-94.4447,1.6,Operating,172,No,No,No,Operating:10/1/2012,Proposed:4/12/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,WindGem,Wind Gem Group,Wind Gem,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,90,41.47,-94.34,1.85,Operating,272,No,No,No,Operating:1/1/2016,Proposed:4/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,245,0
Adair,WolverineWind,Wolverine Wind Energy,Wolverine Wind Energy,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,50,41.3136,-94.4611,1.5,Operating,392,No,No,No,Operating:10/20/2010,Under Const:10/19/2009,Proposed:9/23/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,0
Adair,WindyHillsWindFarm,Invenergy Renewables,Invenergy Renewables,Iowa,Iowa - Adair County,"Adair County, Iowa",13.5,48765,98,41.4977,-94.5208,500,Canceled,1811,Yes,No,No,Canceled:7/23/2012,Proposed:8/8/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,245,1
Adams,CCCHastingsCampusWindFarm,CCC Hastings Renewable Energy,CCC Hastings Renewable Energy,Nebraska,Nebraska - Adams County,"Adams County, Nebraska",55.7,51201,129,40.57,-98.334,1.7,Operating,386,No,No,No,Operating:12/23/2016,Proposed:12/3/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3533,0
Adams,PrairieMillsWindFarm,Global Wind Harvest,Global Wind Harvest,Illinois,Illinois - Adams County,"Adams County, Illinois",78.5,48065,43,40.0713,-91.0099,144,Canceled,1004,Yes,No,No,Canceled:11/13/2015,Proposed:5/23/2014,Canceled:10/29/2013,Postponed:9/29/2012,Proposed:1/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,3533,1
Adams,ThunderSpiritWindProject,MDU Resources Group,MDU Resources Group,North Dakota,North Dakota - Adams County,"Adams County, North Dakota",2.4,53295,50,46.0014,-102.6368,107.5,Under Const,2130,No,No,No,Under Const:5/1/2018,Permitted:4/1/2018,Proposed:1/3/2017,Operating:12/30/2015,Testing:10/21/2015,Under Const:8/25/2015,Permitted:8/18/2014,Postponed:6/24/2014,Site Prep:1/30/2014,Permitted:10/10/2013,Proposed:3/1/2010,Feasibility:6/7/2007,NA,NA,NA,NA,NA,NA,NA,0,High,1.5038961038961038,1.473576795226015,2.171428571428573,Positive,3533,0
Adams,AdamsProject,MidAmerican Energy Co,MidAmerican Energy Co,Iowa,Iowa - Adams County,"Adams County, Iowa",9.5,48598,32,41.0496,-94.5314,106,Postponed,477,No,No,No,Postponed:7/11/2017,Proposed:6/1/2016,Operating:1/31/2016,Operating:1/30/2016,Proposed:1/27/2016,Testing:10/31/2015,Proposed:10/10/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3533,0
Adams,AdamsCountyWind,NextEra Energy Resources,NextEra Energy Resources,Colorado,Colorado - Adams County,"Adams County, Colorado",378.2,61444,52,39.7481,-104.0116,75,Canceled,909,Yes,No,No,Canceled:10/3/2007,Postponed:6/22/2006,Proposed:4/7/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3533,1
Adams,TwoRiversWindEnergy,Two Rivers Wind Energy,Two Rivers Wind Energy,Illinois,Illinois - Adams County,"Adams County, Illinois",78.5,48065,60,39.8155,-91.0619,300,Canceled,1232,Yes,No,No,Canceled:4/5/2006,Postponed:10/26/2004,Proposed:11/20/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3533,1
Albany,HighPlainsWind(WY),PacifiCorp,PacifiCorp,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,27,41.6773,-106.0082,99,Operating,481,No,No,No,Operating:9/1/2009,Under Const:3/16/2009,Permitted:9/15/2008,App Pending:7/7/2008,Proposed:5/8/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8153846153846154,1.5654407809654372,2.4506048387096775,Positive,3699,0
Albany,BoswellWindI,Boswell Wind Project I,Boswell Wind Project I,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,10,41.8949,-105.9141,80,Proposed,1716,Yes,No,No,Proposed:8/23/2017,Canceled:12/27/2012,Proposed:4/16/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8153846153846154,1.5654407809654372,2.4506048387096775,Positive,3699,1
Albany,BoswellWindIV,Boswell Wind Project IV,Boswell Wind Project IV,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,0,42.1,-105.94,80,Proposed,559,No,Yes,No,Proposed:4/21/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8153846153846154,1.5654407809654372,2.4506048387096775,Positive,3699,0
Albany,BoswellWindII,Boswell Wind Project II,Boswell Wind Project II,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,10,41.9,-105.92,80,Proposed,559,No,Yes,No,Proposed:4/21/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8153846153846154,1.5654407809654372,2.4506048387096775,Positive,3699,0
Albany,SandHillsRanchWind,Shell Wind Energy,Shell Wind Energy,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,59,41.6871,-105.8982,50,Canceled,2778,Yes,No,No,Canceled:9/18/2017,Postponed:12/20/2016,App Pending:3/28/2011,Proposed:2/9/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3699,1
Albany,BoswellWindIII,Boswell Wind Project III,Boswell Wind Project III,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,0,42,-105.93,80,Proposed,559,No,Yes,No,Proposed:4/21/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8153846153846154,1.5654407809654372,2.4506048387096775,Positive,3699,0
Albany,McFaddenRidgeWind,PacifiCorp,PacifiCorp,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,34,41.6427,-106.053,28.5,Canceled,516,No,No,No,Canceled:3/27/2013,Postponed:9/21/2011,Operating:10/6/2009,Testing:9/1/2009,Under Const:6/4/2009,Permitted:9/15/2008,App Pending:7/7/2008,Proposed:5/8/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,1.5,0.5773502691896257,0.3333333333333333,Positive,3699,0
Albany,DoubleXWind,Intermountain Wind,Intermountain Wind,Wyoming,Wyoming - Albany County,"Albany County, Wyoming",8.5,43043,8,41.0446,-105.3703,500,Canceled,1877,Yes,No,No,Canceled:5/31/2013,Postponed:10/1/2012,Proposed:4/10/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,3699,1
Allen,PrairieQueenWindFarm,Prairie Queen Wind Farm,Prairie Queen Wind Farm,Kansas,Kansas - Allen County,"Allen County, Kansas",26.7,40911,54,37.9512,-95.3297,200,Proposed,399,No,Yes,No,Proposed:9/28/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,1.5294117647058822,1.0847426730181986,1.1766666666666663,Positive,2158,0
Anderson,DeerCreekWindFarm,TradeWind Energy,TradeWind Energy,Kansas,Kansas - Anderson County,"Anderson County, Kansas",14,42146,48,38.1148,-95.2221,150,Canceled,1252,Yes,No,No,Canceled:7/17/2013,Proposed:9/7/2010,Canceled:1/6/2008,Postponed:1/17/2006,Proposed:8/2/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,1372,1
Andrews,MBarWind,Penn Energy Trust,Penn Energy Trust,Texas,Texas - Andrews County,"Andrews County, Texas",9.9,70121,31,32.0978,-102.6519,194,Canceled,2785,Yes,No,No,Canceled:4/11/2016,Postponed:12/6/2011,Proposed:8/26/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,14,1
Anoka,AnokaCountyWindFarm(MMPA),Minnesota Municipal Power Agency,Minnesota Municipal Power Agency,Minnesota,Minnesota - Anoka County,"Anoka County, Minnesota",782.1,73579,265,45.1977,-93.3869,0.16,Operating,1107,No,No,No,Operating:2/28/2010,Testing:12/31/2009,Under Const:10/10/2009,Proposed:2/17/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,1884,0
Antelope,UpstreamWindEnergyProject,Upstream Wind Energy,Upstream Wind Energy,Nebraska,Nebraska - Antelope County,"Antelope County, Nebraska",7.8,46381,34,42.1023,-97.8396,202.5,Under Const,1169,No,Yes,No,Under Const:1/8/2018,Permitted:6/8/2016,Proposed:8/20/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.5619047619047619,1.6447094346491606,2.7050691244239613,Positive,26,0
Antelope,PrairieBreezeIII,Prairie Breeze Wind Energy III,Prairie Breeze Wind Energy III,Nebraska,Nebraska - Antelope County,"Antelope County, Nebraska",7.8,46381,35,42.1857,-98.0419,35,Operating,310,No,No,No,Operating:4/30/2016,Proposed:6/25/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Low,2,0.7071067811865476,0.5,Positive,26,0
