ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
25 Mile Creek Wind Farm,Berrendo Wind Energy,Berrendo Wind Energy,OK,Ellis,36.3219,-99.7568,200,Under Const,1265,No,Yes,No,Under Const:3/21/2017,Site Prep:1/17/2017,Proposed:5/16/2015,,,,,,,,,,,,,,,,,,,,,
251 Project,Terra Gen 251 Wind,Terra Gen California Holdings,CA,Kern,35.0906,-118.3538,15.8,Canceled,2442,Yes,No,No,Canceled:9/6/2012,Proposed:9/14/2007,Proposed:12/31/2005,Proposed:12/30/2005,,,,,,,,,,,,,,,,,,,,
2W Whatley Ranch,2W Wind,2W Wind,TX,Ector,32.0421,-102.38,45,Canceled,648,Yes,No,No,Canceled:10/9/2012,Postponed:12/6/2011,Proposed:12/31/2010,,,,,,,,,,,,,,,,,,,,,
3MW Project,Gamesa,Nire Holdings,TX,Lubbock,33.616,-102.052,2.9,Operating,211,No,No,No,Operating:9/30/2014,Proposed:3/3/2014,,,,,,,,,,,,,,,,,,,,,,
7 Mile Wind Project,Alaska Power & Telephone Co,Alaska Power & Telephone Co,AK,Southeast Fairbanks Census Area,63.324,-142.993,1.8,Postponed,852,No,Yes,No,Postponed:8/1/2017,Proposed:7/2/2016,,,,,,,,,,,,,,,,,,,,,,
71R Wind,71 Ranch,Errol Wylie Galt,MT,Meagher,46.43,-110.364,3,Proposed,512,No,Yes,No,Proposed:6/7/2017,,,,,,,,,,,,,,,,,,,,,,,
Abingdon Wind Farm,Abingdon Wind Farm Consortium,Abingdon Wind Farm Consortium,IL,Knox,41.0112,-90.2799,8.75,Canceled,1919,Yes,No,No,Canceled:6/2/2009,Postponed:12/23/2008,Proposed:3/1/2004,,,,,,,,,,,,,,,,,,,,,
Acadian Wind,Apex Clean Energy,Apex Clean Energy,LA,Acadia Parish,30.2872,-92.3969,250,Proposed,738,No,Yes,No,Proposed:10/24/2016,,,,,,,,,,,,,,,,,,,,,,,
Ad Astra,Waverly Wind Farm,Waverly Wind Farm,KS,Coffey,38.2024,-95.7618,200,Operating,1255,No,No,No,Operating:1/1/2016,Under Const:1/30/2014,Proposed:7/25/2012,,,,,,,,,,,,,,,,,,,,,
Adair Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,IA,Cass,41.4552,-94.6487,174.8,Operating,234,No,No,No,Operating:12/1/2008,Under Const:8/18/2008,Proposed:4/11/2008,,,,,,,,,,,,,,,,,,,,,
Adams Community Wind Farm,Adams Wind Generations,Adams Wind Generations,MN,Meeker,44.917,-94.7234,20,Operating,498,No,No,No,Operating:3/16/2011,Under Const:11/30/2010,Proposed:11/3/2009,,,,,,,,,,,,,,,,,,,,,
Adams County Wind,NextEra Energy Resources,NextEra Energy Resources,CO,Adams,39.7481,-104.0116,75,Canceled,909,Yes,No,No,Canceled:10/3/2007,Postponed:6/22/2006,Proposed:4/7/2005,,,,,,,,,,,,,,,,,,,,,
Adams Project,MidAmerican Energy Co,MidAmerican Energy Co,IA,Adams,41.0496,-94.5314,106,Postponed,477,No,No,No,Postponed:7/11/2017,Proposed:6/1/2016,Operating:1/31/2016,Operating:1/30/2016,Proposed:1/27/2016,Testing:10/31/2015,Proposed:10/10/2014,,,,,,,,,,,,,,,,,
Adelaide Wind Energy Centre,Summerhaven Wind,Summerhaven Wind,ON,,42.9971,-81.7077,59.94,Operating,1557,No,No,No,Operating:2/12/2015,Operating:8/25/2014,Testing:8/1/2014,Under Const:5/9/2014,Under Const:3/3/2014,Permitted:8/1/2013,App Pending:2/26/2013,Proposed:5/21/2010,,,,,,,,,,,,,,,,
Adirondack Wind Energy Park,Adirondack Wind Partners,Adirondack Wind Partners,NY,Warren,43.6825,-74.0589,27,Canceled,2252,Yes,No,No,Canceled:12/31/2009,Proposed:11/1/2003,,,,,,,,,,,,,,,,,,,,,,
Admiral Wind,Admiral Wind,Admiral Wind,NY,Madison,42.9538,-75.6148,3.9,Proposed,447,No,Yes,No,Proposed:8/11/2017,,,,,,,,,,,,,,,,,,,,,,,
Aegir Windfarm I,Scandia Wind Offshore,Scandia Wind Offshore,MI,Offshore,43.7812,-86.5402,500,Canceled,1086,Yes,No,No,Canceled:3/5/2013,Postponed:3/12/2012,Proposed:3/15/2010,,,,,,,,,,,,,,,,,,,,,
Aegir Windfarm II,Scandia Wind Offshore,Scandia Wind Offshore,MI,Offshore,43.0637,-86.3752,500,Canceled,1086,Yes,No,No,Canceled:3/5/2013,Postponed:3/12/2012,Proposed:3/15/2010,,,,,,,,,,,,,,,,,,,,,
Affinity Pike County Wind,Surity Wind,Surity Wind,IL,Pike,39.6193,-90.8374,36,Canceled,2892,Yes,No,No,Canceled:8/17/2016,Postponed:7/13/2015,Permitted:7/17/2014,Proposed:6/24/2014,Postponed:9/29/2012,Permitted:10/3/2011,Proposed:1/14/2011,Proposed:9/16/2008,,,,,,,,,,,,,,,,
Aguanish Wind Farm,St Laurent Energies,St Laurent Energies,QC,,50.2202,-62.082,80,Canceled,958,Yes,No,No,Canceled:12/21/2010,Proposed:5/7/2008,,,,,,,,,,,,,,,,,,,,,,
AIM PowerGen Dominion Wind,International Power Canada,International Power Canada,MB,,49.1207,-97.1654,99,Canceled,1696,Yes,No,No,Canceled:2/29/2012,Postponed:10/31/2010,Proposed:7/9/2007,,,,,,,,,,,,,,,,,,,,,
Airtricity Lamesa Wind Farm,Airtricity Lamesa Wind Farm,Airtricity Lamesa Wind Farm,TX,Dawson,32.7376,-101.9521,183,Canceled,791,Yes,No,No,Canceled:9/30/2009,Postponed:7/31/2008,Proposed:8/1/2007,,,,,,,,,,,,,,,,,,,,,
Airtricity Panther Creek Wind Farm,Panther Creek Wind Farm I & II,Panther Creek Wind Farm I & II,TX,Howard,32.1179,-101.4442,142.5,Operating,365,No,No,No,Operating:9/2/2009,Under Const:7/29/2009,Proposed:4/14/2009,Operating:11/1/2008,Operating:7/31/2008,Under Const:1/2/2008,Proposed:8/1/2007,,,,,,,,,,,,,,,,,
Alabama Ledge Wind Farm,Alabama Ledge Wind Farm,Alabama Ledge Wind Farm,NY,Genesee,43.0584,-78.3444,79.8,Proposed,3444,Yes,No,No,Proposed:3/31/2015,Canceled:7/3/2014,Postponed:9/5/2013,Proposed:1/27/2005,,,,,,,,,,,,,,,,,,,,
Alaska Wind Farm,Delta Wind Farm,Marvin Hall,AK,Southeast Fairbanks Census Area,64.026,-145.59,13.5,Canceled,446,Yes,No,No,Canceled:3/6/2018,Proposed:12/15/2016,,,,,,,,,,,,,,,,,,,,,,
Alaska Wind Power Fairbanks Project,Alaska Wind Power,Alaska Power & Telephone Co,AK,Southeast Fairbanks Census Area,63.7084,-145.8393,50,Canceled,2630,Yes,No,No,Canceled:5/14/2015,Postponed:12/5/2012,Proposed:3/1/2008,,,,,,,,,,,,,,,,,,,,,
Alaska Wind Power Project,Alaska Wind Power,Alaska Power & Telephone Co,AK,Bethel Census Area,60.7893,-161.7567,2,Canceled,595,Yes,No,No,Canceled:10/30/2009,Proposed:3/14/2008,,,,,,,,,,,,,,,,,,,,,,
Alexander Wind Farm,Alexander Wind Farm,Alexander Wind Farm,KS,Rush,38.4331,-99.5369,48,Operating,1691,No,No,No,Operating:12/11/2015,Under Const:1/30/2014,Proposed:4/25/2011,,,,,,,,,,,,,,,,,,,,,
Alexis Wind Farm,BP Alternative Energy,BP Alternative Energy,IL,Warren,41.064,-90.5678,200,Canceled,3830,Yes,No,No,Canceled:6/6/2016,Postponed:5/14/2015,Proposed:12/11/2005,,,,,,,,,,,,,,,,,,,,,
Alle Catt Wind,Invenergy Wind Development,Invenergy Wind Development,NY,Cattaraugus,42.0416,-78.4696,277.8,Proposed,911,No,Yes,No,Proposed:1/4/2017,Proposed:5/4/2016,,,,,,,,,,,,,,,,,,,,,,
Allegany Wind,RES Americas Developments,RES Americas Developments,NY,Allegany,42.3883,-78.0344,100,Proposed,1004,No,Yes,No,Proposed:2/1/2016,,,,,,,,,,,,,,,,,,,,,,,
Allegany Wind Project,Everpower Renewables,Allegany Wind,NY,Cattaraugus,42.038,-78.5295,72.5,Canceled,2414,Yes,No,No,Canceled:10/29/2013,App Pending:2/17/2010,Proposed:3/21/2007,,,,,,,,,,,,,,,,,,,,,
Allegany Windfield,Noble Allegany Windpark,Noble Allegany Windpark,NY,Allegany,42.477,-78.2803,100.5,Canceled,1036,Yes,No,No,Canceled:4/8/2010,App Pending:2/19/2008,Proposed:6/7/2007,Feasibility:1/1/2006,,,,,,,,,,,,,,,,,,,,
Allegheny Ridge Wind Farm (PA),Allegheny Ridge Wind Farm,Allegheny Ridge Wind Farm,PA,Cambria,40.3753,-78.5709,80,Canceled,597,No,No,No,Canceled:5/11/2012,Postponed:6/23/2011,Operating:5/1/2009,Testing:2/15/2009,Under Const:8/18/2007,Operating:6/1/2007,Proposed:12/14/2006,Under Const:5/20/2006,Site Prep:3/29/2006,Permitted:3/10/2006,Proposed:10/12/2005,,,,,,,,,,,,,
Alpine Wind,Alpine Power Co,Alpine Power Co,OR,Union,45.2086,-117.864,30.6,Canceled,588,Yes,No,No,Canceled:2/24/2005,Postponed:2/16/2005,Proposed:7/17/2003,,,,,,,,,,,,,,,,,,,,,
Alpine Windfarm,Oregon Windfarms,Alpine Windfarms,OR,Tillamook,45.669,-123.49,80,Canceled,1576,Yes,No,No,Canceled:6/29/2017,Postponed:11/10/2016,Proposed:3/6/2013,,,,,,,,,,,,,,,,,,,,,
ALSTOM Wind Texas,ALSTOM Wind Texas,ALSTOM Wind Texas,TX,Lubbock,33.596,-102.051,1.67,Operating,187,No,No,No,Operating:1/2/2011,Proposed:6/29/2010,,,,,,,,,,,,,,,,,,,,,,
Alta Farms East,TradeWind Energy,TradeWind Energy,IL,De Witt,40.2663,-88.8749,300,Canceled,445,Yes,No,No,Canceled:9/23/2016,Postponed:10/13/2015,Proposed:6/24/2014,Canceled:11/22/2013,Postponed:8/7/2013,Proposed:9/3/2012,Feasibility:6/12/2008,,,,,,,,,,,,,,,,,
Alta Farms West,TradeWind Energy,TradeWind Energy,IL,De Witt,40.195,-89.0713,199.5,App Pending,2250,No,Yes,No,App Pending:10/9/2018,Proposed:9/3/2012,Feasibility:6/12/2008,,,,,,,,,,,,,,,,,,,,,
Alta Mesa Project Phase IV,Vestas Wind Systems,Alta Mesa Power Partners,CA,Riverside,33.9312,-116.6579,40,Postponed,4395,Yes,No,No,Postponed:1/23/2017,Under Const:9/25/2014,Canceled:1/13/2010,Postponed:12/28/2007,Proposed:10/6/2006,Postponed:4/1/2005,Proposed:1/1/1998,,,,,,,,,,,,,,,,,
Alta Wind Energy Center,Terra Gen Power,Alta Wind I,CA,Kern,35.026,-118.2976,150,Operating,1410,No,No,No,Operating:1/29/2015,Operating:1/31/2014,Under Const:7/12/2013,Permitted:5/23/2013,Proposed:2/22/2013,Operating:12/28/2012,App Pending:6/29/2012,Operating:5/1/2012,Under Const:4/17/2012,Operating:11/16/2011,Permitted:10/25/2011,Under Const:6/1/2011,App Pending:5/9/2011,Operating:3/11/2011,Operating:2/23/2011,Operating:12/22/2010,Operating:11/30/2010,Operating:10/31/2010,App Pending:10/1/2010,Under Const:7/22/2010,Under Const:3/31/2010,App Pending:3/21/2007,Proposed:12/22/2006,Proposed:12/21/2006
Altona Windfield,Noble Altona Windpark,Noble Altona Windpark,NY,Clinton,44.8245,-73.6512,97.5,Operating,1109,No,No,No,Operating:2/2/2009,Under Const:6/17/2008,Site Prep:6/30/2007,Permitted:11/9/2006,App Pending:2/21/2006,Proposed:1/20/2006,,,,,,,,,,,,,,,,,,
Amaranth Wind Farm,Schneider Power,Schneider Power,ON,,43.9477,-80.2356,10,Canceled,547,Yes,No,No,Canceled:8/27/2008,Proposed:2/27/2007,,,,,,,,,,,,,,,,,,,,,,
Amazon Wind Farm,Fowler Ridge Wind,Fowler Ridge Wind,IN,Benton,40.5385,-87.2677,400.3,Operating,511,No,No,No,Operating:1/1/2016,Under Const:5/4/2015,Proposed:3/8/2013,Operating:12/23/2009,Under Const:7/16/2009,Operating:12/31/2008,Under Const:2/1/2008,Permitted:11/20/2007,App Pending:8/24/2007,Proposed:8/8/2007,,,,,,,,,,,,,,
Amazon Wind Farm US Central,EDP Renewables North America,Amazon Web Services,OH,Paulding,41.0738,-84.6857,100,Operating,407,No,No,No,Operating:12/31/2016,Proposed:11/20/2015,,,,,,,,,,,,,,,,,,,,,,
Amherst Island Wind,Vector Wind Energy,Vector Wind Energy,ON,,44.1329,-76.7317,24,Canceled,1817,Yes,No,No,Canceled:12/22/2008,Postponed:11/10/2006,Proposed:1/1/2004,,,,,,,,,,,,,,,,,,,,,
Amherst Wind Energy Project,Sprott Power,Sprott Power,NS,,45.8336,-64.2508,31.5,Operating,2433,No,No,No,Operating:4/16/2012,Testing:2/13/2012,Under Const:6/13/2011,Postponed:3/23/2009,Proposed:10/31/2007,Postponed:12/22/2006,Proposed:8/18/2005,,,,,,,,,,,,,,,,,
AMP Berlin Wind,American Municipal Power,American Municipal Power,PA,Somerset,39.9228,-78.9464,5.4,Canceled,2784,Yes,No,No,Canceled:3/13/2013,Postponed:5/11/2012,Under Const:8/6/2010,Proposed:7/29/2005,,,,,,,,,,,,,,,,,,,,
Anacacho Wind,Anacacho Wind Farm,Anacacho Wind Farm,TX,Kinney,29.2255,-99.8324,99,Operating,415,No,No,No,Operating:12/1/2012,Under Const:10/12/2012,Proposed:10/13/2011,,,,,,,,,,,,,,,,,,,,,
Anderson One Wind Project,Anderson Wind Project,Anderson Wind II,NM,Chaves,33.014,-103.854,15,Operating,1238,No,No,No,Operating:12/30/2014,Under Const:8/25/2014,Proposed:12/24/2013,Postponed:8/2/2013,Proposed:8/10/2011,,,,,,,,,,,,,,,,,,,
Andys Pond Wind Farm,Natural Forces Technologies,Enercon,NB,,45.252,-66.6481,58.8,Proposed,462,No,Yes,No,Proposed:7/27/2017,,,,,,,,,,,,,,,,,,,,,,,
Anoka County Wind Farm (MMPA),Minnesota Municipal Power Agency,Minnesota Municipal Power Agency,MN,Anoka,45.1977,-93.3869,0.16,Operating,1107,No,No,No,Operating:2/28/2010,Testing:12/31/2009,Under Const:10/10/2009,Proposed:2/17/2007,,,,,,,,,,,,,,,,,,,,
Anschutz Wind Project,Power Co of Wyoming,Power Co of Wyoming,WY,Carbon,41.6837,-107.1337,1437,Permitted,3765,No,Yes,No,Permitted:8/8/2014,App Pending:7/23/2011,Proposed:7/11/2008,,,,,,,,,,,,,,,,,,,,,
Anse A Valleau,Cartier Wind Energy,Cartier Wind Energy,QC,,49.0953,-64.6519,100.5,Operating,1663,No,No,No,Operating:11/30/2007,Under Const:6/30/2006,App Pending:2/10/2006,Proposed:5/12/2003,,,,,,,,,,,,,,,,,,,,
Antelope Creek Wind,BP Alternative Energy,Catamount Energy,WY,Converse,43.4382,-105.0916,100,Canceled,1148,Yes,No,No,Canceled:12/11/2008,Postponed:1/12/2007,Proposed:10/20/2005,,,,,,,,,,,,,,,,,,,,,
Antelope Creek Wind (CO),Apex Clean Energy,Apex Clean Energy,CO,Prowers,37.13,-102.13,1000,Proposed,191,No,Yes,No,Proposed:4/24/2018,,,,,,,,,,,,,,,,,,,,,,,
Antelope Hills Wind Project,Antelope Hills Wind Project,Antelope Hills Wind Project,ND,Mercer,47.2803,-101.8097,172,Under Const,1885,No,Yes,No,Under Const:1/30/2014,Proposed:9/3/2013,,,,,,,,,,,,,,,,,,,,,,
Antrim Wind Energy Project,Antrim Wind Energy,Antrim Wind Energy,NH,Hillsborough,43.0566,-72.0195,28.8,Proposed,2847,No,Yes,No,Proposed:8/26/2015,Postponed:2/13/2013,App Pending:2/8/2012,Proposed:1/15/2011,,,,,,,,,,,,,,,,,,,,
Apex Offshore Wind,Apex Clean Energy,Apex Clean Energy,VA,Offshore,36.8873,-75.7604,1500,Canceled,2514,Yes,No,No,Canceled:1/13/2017,Postponed:1/26/2016,Proposed:2/25/2010,,,,,,,,,,,,,,,,,,,,,
Apple Blossom Wind,Apple Blossom Wind,Apple Blossom Wind,MI,Huron,43.8456,-83.3103,100,Operating,2420,No,No,No,Operating:11/21/2017,Under Const:12/14/2016,Permitted:5/1/2015,App Pending:12/4/2014,Proposed:4/7/2011,,,,,,,,,,,,,,,,,,,
Apple Creek Wind Farm,Pacific Winds,Pacific Winds,ND,Burleigh,47.1299,-100.4416,37,Canceled,1189,Yes,No,No,Canceled:7/3/2012,Postponed:7/6/2011,Proposed:4/1/2009,,,,,,,,,,,,,,,,,,,,,
Apuiat Wind,Boralex,Boralex,QC,,49.7477,-67.2494,200,Proposed,769,No,Yes,No,Proposed:8/23/2018,Proposed:9/23/2016,,,,,,,,,,,,,,,,,,,,,,
Aragonne Mesa,Aragonne Wind,GE Energy Financial Services,NM,Guadalupe,34.827,-105.001,90,Canceled,1333,Yes,No,Yes,Canceled:1/1/2012,Proposed:5/8/2008,Operating:12/22/2006,Under Const:11/23/2005,,,,,,,,,,,,,,,,,,,,
Arapaho Cheyenne Wind,West Wind Energy,Cheyenne Tribe (OK),OK,Canadian,35.6004,-97.9723,2.2,Canceled,544,Yes,No,No,Canceled:10/16/2012,Under Const:10/19/2011,Proposed:4/21/2011,,,,,,,,,,,,,,,,,,,,,
Arbuckle Mountain Wind Farm,Arbuckle Mountain Wind Farm,Arbuckle Mountain Wind Farm,OK,Murray,34.4282,-97.1355,100,Operating,864,No,No,No,Operating:11/30/2015,Testing:11/1/2015,Under Const:1/30/2014,Proposed:7/19/2013,,,,,,,,,,,,,,,,,,,,
Arches Provincial Wind,Kruger,Kruger,NL,,50.114,-57.6693,15,Canceled,1748,Yes,No,No,Canceled:6/2/2009,Postponed:5/8/2007,Permitted:10/28/2004,Proposed:8/19/2004,,,,,,,,,,,,,,,,,,,,
Ardenville Wind Farm,TransAlta,TransAlta,AB,,49.5524,-113.4261,3,Operating,561,No,No,No,Operating:11/10/2010,Under Const:1/31/2010,Proposed:4/28/2009,,,,,,,,,,,,,,,,,,,,,
Argentia Wind Farm (NL),Wind Project,Wind Project,NL,,47.2823,-53.9489,42,Canceled,1610,Yes,No,No,Canceled:7/29/2009,App Pending:11/15/2005,Proposed:3/2/2005,,,,,,,,,,,,,,,,,,,,,
Arkansas One,Dragonfly Industries Intl,Dragonfly Industries Intl,AR,Washington,36.2093,-94.2784,80,Canceled,495,Yes,No,No,Canceled:3/2/2016,Postponed:12/14/2015,Proposed:10/24/2014,,,,,,,,,,,,,,,,,,,,,
