Master Project Name,Project Phase Name,State,Project Status,Year Completed,Project Developer,Project Capacity (MW),Number of Wind Turbines,Turbine Rating (MW),OEM,Wind Turbine Model,Project Owner,Owner Type,Owner Subtype,Offtake Type,Power Purchaser,Power Purchaser Type,Power Purchaser Subtype,Hub Height (m),Rotor Diameter (m),Community Project,Congressional District,County,ISO,NERC Region : NERC Subregion,Balancing Authority,Planning Area,EIA Plant ID,EIA Plant Name,PPA Rate,Latitude,Longitude
Bitworks,Bitworks,Arkansas,online,2003,"Bitworks, Inc.",0.10,1.00,0.1,NEG Micon,Micon 100,"Bitworks, Inc.",Commercial,Commercial,Direct Use: Non-Utility,Bitworks,Non-Utility,Commercial & Industrial,,,Yes,AR-3,Washington,,,,,,,,35.976400,-94.334011
Burco Farm & Feed,Burco Farm & Feed,Iowa,online,2010,Earth Linked Energy,0.10,1.00,0.1,Northern Power Systems,NPS 100,Burco Farm & Feed,Commercial,Commercial,Direct Use: Non-Utility,Burco Farm & Feed,Non-Utility,Commercial & Industrial,,,Yes,IA-1,Buchanan,,,,,,,,42.563853,-91.884725
Carsten Farms,Carsten Farms,Iowa,online,2009,,0.20,2.00,0.1,Northern Power Systems,NPS 100,Carsten Farms,Commercial,Farm,Direct Use: Non-Utility,Carsten Farms,Non-Utility,Commercial & Industrial,,,Yes,IA-4,Shelby,,,,,,,,41.401302,-94.605240
Story County Wind II,Story II,Iowa,online,2009,NextEra Energy Resources,88.92,59.28,1.5,GE Renewable Energy,1.5-77,NextEra Energy Resources,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,77,,IA-4,Hardin,,,,,57469,Garden Wind LLC,$46.75,42.230358,-93.388473
Story County Wind II,Story II,Iowa,online,2009,NextEra Energy Resources,25.08,16.72,1.5,GE Renewable Energy,1.5-77,NextEra Energy Resources,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,77,,IA-4,Story,,,,,57469,Garden Wind LLC,$46.75,42.230358,-93.388473
Alexander,Alexander,Kansas,online,2015,EDF RE (OwnEnergy),23.30,10.13,2.3,Siemens,SWT-2.3-108,NJR Clean Energy Ventures,IPP,,Contract: PPA,Yahoo!,Non-Utility,Commercial & Industrial,80,108,Yes,KS-1,Rush,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),58666,Alexander Wind Farm LLC,,38.431294,-99.533184
Bloom,Bloom,Kansas,online,2017,Capital Power,33.00,10.00,3.3,Vestas,V117-3.3,Capital Power,IPP,,Contract: PPA,"Allianz Risk Transfer, Resold to Microsoft",Non-Utility,Commercial & Industrial,91.5,117,,KS-1,Clark,SPP (100%),SPP: SPP (100%),SPP (100%),,,,,37.489893,-99.955510
Bloom,Bloom,Kansas,online,2017,Capital Power,145.20,44.00,3.3,Vestas,V117-3.3,Capital Power,IPP,,Contract: PPA,"Allianz Risk Transfer, Resold to Microsoft",Non-Utility,Commercial & Industrial,91.5,117,,KS-1,Ford,SPP (100%),SPP: SPP (100%),SPP (100%),,,,,37.489893,-99.955510
Cimarron Bend,Cimarron Bend I,Kansas,online,2016,"Enel Green Power North America, Tradewind Energy",100.00,50.00,2,Vestas,V110-2.0,Enel Green Power North America,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,110,,KS-1,Clark,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60687,Cimarron Bend Wind Project I LLC,,37.370679,-99.887600
Cimarron Bend,Cimarron Bend I,Kansas,online,2016,"Enel Green Power North America, Tradewind Energy",100.00,50.00,2,Vestas,V110-2.0,GE Energy Financial Services,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,110,,KS-1,Clark,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60687,Cimarron Bend Wind Project I LLC,,37.370679,-99.887600
Cloud County Community College,Cloud County Community College,Kansas,online,2010,Midwest Underground Technology,0.20,2.00,0.1,Northern Power Systems,NPS 100,Cloud County Community College,Commercial,School,Direct Use: Non-Utility,Midwest Underground Technology,Non-Utility,Commercial & Industrial,,,Yes,KS-1,Cloud,,,,,,,,39.548598,-97.664051
Solomon Forks,Solomon Forks,Kansas,advanced development,,Infinity Wind Power,100.00,,,,,Infinity Wind Power,IPP,,Contract: PPA,Target,Non-Utility,Commercial & Industrial,,,,KS-1,Thomas,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),,,,39.318900,-101.086153
Stafford,Stafford,Kansas,online,2015,Harvest the Wind,0.85,1.00,0.85,Gamesa,G52-850,Stafford County Flour Mills Co.,Commercial,Commercial,Direct Use: Non-Utility,Stafford County Flour Mills Co.,Non-Utility,Commercial & Industrial,55,58,Yes,KS-4,Stafford,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),1325,Stafford,,38.106750,-98.656806
CP Windfarm,Corn Plus (CP Windfarm),Minnesota,online,2008,Exelon Wind,4.16,1.98,2.1,Suzlon,S88,Exelon Wind,IPP,,Direct Use: Non-Utility,Corn Plus Ethanol Plant,Non-Utility,Commercial & Industrial,79,88,Yes,MN-1,Faribault,,,,,,,,43.762006,-94.141547
CP Windfarm,Corn Plus (CP Windfarm),Minnesota,online,2008,Exelon Wind,0.04,0.02,2.1,Suzlon,S88,Renewable Energy Solutions LLC,Commercial,,Direct Use: Non-Utility,Corn Plus Ethanol Plant,Non-Utility,Commercial & Industrial,79,88,Yes,MN-1,Faribault,,,,,,,,43.762006,-94.141547
DH Blattner Headquarters,DH Blattner Headquarters,Minnesota,online,2009,DH Blattner,0.10,1.00,0.1,Northern Power Systems,NPS 100,DH Blattner,Commercial,Commercial,Direct Use: Non-Utility,DH Blattner,Non-Utility,Commercial & Industrial,,,Yes,MN-6,Stearns,,,,,,,,45.594339,-94.445678
St. Cloud VA Medical Center,St. Cloud VA Medical Center,Minnesota,online,2011,St. Cloud VA Medical Center,0.60,1.00,0.6,Elecon,T600-48DS,St. Cloud VA Medical Center,Commercial,Hospital,Direct Use: Non-Utility,St. Cloud VA Medical Center,Non-Utility,Commercial & Industrial,50,48.7,Yes,MN-6,Stearns,,,,,,,,45.577085,-94.208237
Pine Ridge Job Corps Center Wind Turbine,Pine Ridge Job Corp,Nebraska,online,2010,PNE Wind USA,0.10,1.00,0.1,Northern Power Systems,NPS 100,Pine Ridge Job Corp,Commercial,Commercial,Direct Use: Non-Utility,Pine Ridge Job Corp,Non-Utility,Commercial & Industrial,,,,NE-3,Dawes,,,,,,,,42.680478,-102.984517
Sacred Heart Monestary,Sacred Heart Monestary,North Dakota,online,1997,,0.25,2.00,0.125,Silver Eagle with Micon Internals,,Richardton Abbey,Commercial,Religious,Direct Use: Non-Utility,Richardton Abbey,Non-Utility,Commercial & Industrial,,,,ND-Congressional District (at Large),Stark,,,,,,,,46.895271,-102.347409
Bluestem,Bluestem,Oklahoma,online,2016,"RES Americas, Arrowhead Wind Energy",100.98,30.60,3.3,Vestas,V117-3.3,ExGen Renewables Partners LLC,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,91.5,117,,OK-3,Beaver,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60256,Bluestem,,36.552148,-100.587547
Bluestem,Bluestem,Oklahoma,online,2016,"RES Americas, Arrowhead Wind Energy",97.02,29.40,3.3,Vestas,V117-3.3,John Hancock Life Insurance Co,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,91.5,117,,OK-3,Beaver,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60256,Bluestem,,36.552148,-100.587547
Grant Plains,Grant Plains,Oklahoma,online,2016,Apex Clean Energy,25.00,10.87,2.3,Siemens,SWT-2.3-108,Southern Power,IPP,,Contract: PPA,Steelcase,Non-Utility,Commercial & Industrial,80,108,,OK-3,Grant,SPP (100%),SPP: SPP (100%),SPP (100%),,60545,Grant Plains Wind LLC,,36.968325,-97.674418
Great Western,Great Western,Oklahoma,online,2016,"EDF Renewable Energy, Orion Energy, MAP Royalty",63.00,31.50,2,Vestas,V100-2.0,Alliant Energy,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,91.5,100,,OK-3,Woodward,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60574,Great Western Wind Energy LLC,,36.167252,-99.590826
Great Western,Great Western,Oklahoma,online,2016,"EDF Renewable Energy, Orion Energy, MAP Royalty",63.00,31.50,2,Vestas,V100-2.0,EDF Renewable Energy,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,91.5,100,,OK-3,Woodward,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60574,Great Western Wind Energy LLC,,36.167252,-99.590826
Great Western,Great Western,Oklahoma,online,2016,"EDF Renewable Energy, Orion Energy, MAP Royalty",49.50,15.00,3.3,Vestas,V117-3.3,Alliant Energy,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,117,,OK-3,Woodward,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60574,Great Western Wind Energy LLC,,36.167252,-99.590826
Great Western,Great Western,Oklahoma,online,2016,"EDF Renewable Energy, Orion Energy, MAP Royalty",49.50,15.00,3.3,Vestas,V117-3.3,EDF Renewable Energy,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,117,,OK-3,Woodward,SPP (100%),SPP: SPP (100%),SPP (100%),SPP (100%),60574,Great Western Wind Energy LLC,,36.167252,-99.590826
High Plains Tech Center,High Plains Tech Center,Oklahoma,online,2010,P&K Wind Energy,0.10,1.00,0.1,Northern Power Systems,NPS 100,High Plains Tech Center,Commercial,Commercial,Direct Use: Non-Utility,High Plains Tech Center,Non-Utility,Commercial & Industrial,,,,OK-3,Woodward,,,,,,,,36.406464,-99.428203
Minco,Minco II,Oklahoma,online,2011,NextEra Energy Resources,20.80,13.00,1.6,GE Renewable Energy,1.6-82.5,NextEra Energy Resources,IPP,,Contract: PPA,Google Energy,Non-Utility,Commercial & Industrial,80,82.5,,OK-3,Caddo,,,,,57956,"Minco Wind II, LLC",$33.00,35.329257,-98.058616
