ProjectName,State,Sentiment,Subjectivity
Bitworks,Arkansas,0,0
Burco Farm & Feed,Iowa,0.10833333333333332,0.2
Carsten Farms,Iowa,0.05,0.15
Story County Wind II,Iowa,0.05492784992784994,0.3233441558441558
Alexander,Kansas,0.029526515151515154,0.40397727272727274
Bloom,Kansas,0.03681818181818182,0.06606060606060607
Cimarron Bend,Kansas,-0.04013888888888889,0.23750000000000002
Cloud County Community College,Kansas,0.10875140291806959,0.2578030303030303
Solomon Forks,Kansas,0.0175,0.20777777777777778
Stafford,Kansas,0.15482954545454547,0.3375
CP Windfarm,Minnesota,0.07059483726150392,0.2694725028058361
DH Blattner Headquarters,Minnesota,0.18333333333333335,0.525
St. Cloud VA Medical Center,Minnesota,0.175,0.35
Pine Ridge Job Corps Center Wind Turbine,Nebraska,0.09999999999999999,0.08333333333333333
Sacred Heart Monestary,North Dakota,0.0,0.03333333333333333
Bluestem,Oklahoma,0.06895833333333334,0.21270833333333333
Grant Plains,Oklahoma,0.03652380952380953,0.2074047619047619
Great Western,Oklahoma,0.2420757575757576,0.2601136363636363
High Plains Tech Center,Oklahoma,0.09288831168831169,0.2931896103896104
Minco,Oklahoma,0.029166666666666667,0.17138888888888887
Red Dirt,Oklahoma,0.03666666666666667,0.14277777777777778
Rock Falls,Oklahoma,0.05541666666666667,0.22416666666666668
Rush Springs Wind Energy Center,Oklahoma,-0.04513888888888888,0.27222222222222225
Thunder Ranch,Oklahoma,0.1125,0.2791666666666667
Pueblo Towers,Colorado,0.11446969696969697,0.3154545454545455
Arends Brothers Wind Turbine,Illinois,0.0724920634920635,0.22846031746031747
Big Windy,Illinois,0.1193075998075998,0.40110425685425677
HillTopper,Illinois,0.0775,0.2975
Method Manufacturing Plant,Illinois,0.08341682127396413,0.32899221809936097
MUTI Wind Turbine,Illinois,0.042735389610389606,0.27830447330447333
Other World Computing,Illinois,0.15243542568542567,0.28674242424242424
Pilot Hill,Illinois,0.009999999999999995,0.22583333333333336
Testa Produce Wind Turbine,Illinois,0,0
Amazon Wind Farm (Fowler Ridge),Indiana,0.11121933621933622,0.48483044733044733
Meadow Lake Wind Farm,Indiana,0.04113636363636364,0.2439069264069264
Landusky Wind Energy Project,Montana,0,0
Martinsdale Hutterite Colony Wind Farm,Montana,-0.09166666666666667,0.5
Amazon Wind Farm US Central,Ohio,0.030833333333333334,0.20124999999999998
